;goals_goal_id;goals_team_id;goals_player_id;goals_player_team_id;goals_minute_label;goals_minute_regulation;goals_minute_stoppage;goals_match_period;goals_own_goal;goals_penalty
1;G-0003;T-30;P-60620;T-30;43';43;0;first half;0;0
2;G-0005;T-30;P-60620;T-30;87';87;0;second half;0;0
3;G-0001;T-30;P-05470;T-30;19';19;0;first half;0;0
4;G-0002;T-30;P-99087;T-30;40';40;0;first half;0;0
5;G-0004;T-46;P-94135;T-46;70';70;0;second half;0;0
6;G-0006;T-83;P-65185;T-83;23';23;0;first half;0;0
7;G-0007;T-83;P-37361;T-83;45';45;0;first half;0;0
8;G-0008;T-83;P-71973;T-83;69';69;0;second half;0;0
9;G-0009;T-87;P-43349;T-87;21';21;0;first half;0;0
10;G-0010;T-87;P-43734;T-87;30';30;0;first half;0;0
11;G-0011;T-09;P-91171;T-09;62';62;0;second half;0;0
12;G-0014;T-61;P-18615;T-61;79';79;0;second half;0;0
13;G-0015;T-61;P-70294;T-61;89';89;0;second half;0;0
14;G-0012;T-61;P-91295;T-61;1';1;0;first half;0;0
15;G-0013;T-56;P-44010;T-56;75';75;0;second half;0;0
16;G-0016;T-03;P-25760;T-03;81';81;0;second half;0;0
17;G-0018;T-13;P-89481;T-46;52';52;0;second half;1;0
18;G-0019;T-13;P-61338;T-13;65';65;0;second half;0;0
19;G-0017;T-13;P-61338;T-13;3';3;0;first half;0;0
20;G-0023;T-87;P-33565;T-87;85';85;0;second half;0;0
21;G-0021;T-87;P-75929;T-87;65';65;0;second half;0;0
22;G-0022;T-87;P-43734;T-87;67';67;0;second half;0;0
23;G-0020;T-87;P-43734;T-87;60';60;0;second half;0;0
24;G-0024;T-83;P-71973;T-83;10';10;0;first half;0;0
25;G-0025;T-83;P-71973;T-83;15';15;0;first half;0;0
26;G-0026;T-83;P-71973;T-83;50';50;0;second half;0;0
27;G-0027;T-84;P-54697;T-84;65';65;0;second half;0;0
28;G-0028;T-13;P-08459;T-13;67';67;0;second half;0;0
29;G-0033;T-03;P-37326;T-03;53';53;0;second half;0;0
30;G-0036;T-46;P-31066;T-46;75';75;0;second half;0;0
31;G-0035;T-46;P-89481;T-46;65';65;0;second half;0;0
32;G-0037;T-03;P-56486;T-03;80';80;0;second half;0;0
33;G-0030;T-03;P-76546;T-03;12';12;0;first half;0;0
34;G-0034;T-03;P-76546;T-03;55';55;0;second half;0;0
35;G-0032;T-46;P-89481;T-46;42';42;0;first half;0;1
36;G-0029;T-03;P-56486;T-03;8';8;0;first half;0;0
37;G-0031;T-03;P-56486;T-03;17';17;0;first half;0;0
38;G-0041;T-09;P-91171;T-09;83';83;0;second half;0;0
39;G-0040;T-09;P-83987;T-09;73';73;0;second half;0;0
40;G-0038;T-09;P-83987;T-09;37';37;0;first half;0;0
41;G-0039;T-09;P-91171;T-09;57';57;0;second half;0;0
42;G-0042;T-55;P-06201;T-55;40';40;0;first half;0;0
43;G-0043;T-84;P-38674;T-84;7';7;0;first half;0;0
44;G-0045;T-84;P-57352;T-84;31';31;0;first half;0;0
45;G-0046;T-84;P-18628;T-84;35';35;0;first half;0;0
46;G-0044;T-84;P-44201;T-84;26';26;0;first half;0;0
47;G-0050;T-03;P-23897;T-03;51';51;0;second half;0;0
48;G-0047;T-03;P-56486;T-03;12';12;0;first half;0;0
49;G-0048;T-03;P-56486;T-03;13';13;0;first half;0;0
50;G-0049;T-13;P-08459;T-13;15';15;0;first half;0;0
51;G-0053;T-03;P-56486;T-03;69';69;0;second half;0;0
52;G-0055;T-03;P-70166;T-03;85';85;0;second half;0;0
