;matches_home_team_id;home_team_name;home_mens_team;home_womens_team;home_womens_team;home_region_name
1;T-30;France;1;1;1;Europe
6;T-30;France;1;1;1;Europe
9;T-30;France;1;1;1;Europe
12;T-30;France;1;1;1;Europe
16;T-30;France;1;1;1;Europe
17;T-83;United States;1;1;1;North America
27;T-83;United States;1;1;1;North America
38;T-83;United States;1;1;1;North America
42;T-87;Yugoslavia;1;0;0;Europe
71;T-87;Yugoslavia;1;0;0;Europe
76;T-87;Yugoslavia;1;0;0;Europe
79;T-61;Romania;1;0;0;Europe
86;T-61;Romania;1;0;0;Europe
92;T-61;Romania;1;0;0;Europe
100;T-61;Romania;1;0;0;Europe
104;T-03;Argentina;1;1;1;South America
109;T-13;Chile;1;1;1;South America
143;T-13;Chile;1;1;1;South America
232;T-13;Chile;1;1;1;South America
334;T-87;Yugoslavia;1;0;0;Europe
377;T-87;Yugoslavia;1;0;0;Europe
460;T-87;Yugoslavia;1;0;0;Europe
478;T-87;Yugoslavia;1;0;0;Europe
500;T-83;United States;1;1;1;North America
542;T-83;United States;1;1;1;North America
690;T-83;United States;1;1;1;North America
722;T-84;Uruguay;1;0;0;South America
770;T-13;Chile;1;1;1;South America
775;T-03;Argentina;1;1;1;South America
828;T-03;Argentina;1;1;1;South America
866;T-03;Argentina;1;1;1;South America
868;T-03;Argentina;1;1;1;South America
877;T-03;Argentina;1;1;1;South America
882;T-03;Argentina;1;1;1;South America
887;T-03;Argentina;1;1;1;South America
899;T-03;Argentina;1;1;1;South America
902;T-03;Argentina;1;1;1;South America
970;T-09;Brazil;1;1;1;South America
1138;T-09;Brazil;1;1;1;South America
1145;T-09;Brazil;1;1;1;South America
1230;T-09;Brazil;1;1;1;South America
1241;T-55;Paraguay;1;0;0;South America
1256;T-84;Uruguay;1;0;0;South America
1268;T-84;Uruguay;1;0;0;South America
1274;T-84;Uruguay;1;0;0;South America
1366;T-84;Uruguay;1;0;0;South America
1383;T-03;Argentina;1;1;1;South America
1393;T-03;Argentina;1;1;1;South America
1410;T-03;Argentina;1;1;1;South America
1483;T-03;Argentina;1;1;1;South America
1494;T-03;Argentina;1;1;1;South America
1500;T-03;Argentina;1;1;1;South America
1505;T-03;Argentina;1;1;1;South America
1590;T-03;Argentina;1;1;1;South America
1611;T-03;Argentina;1;1;1;South America
1635;T-03;Argentina;1;1;1;South America
1648;T-03;Argentina;1;1;1;South America
1660;T-84;Uruguay;1;0;0;South America
1675;T-84;Uruguay;1;0;0;South America
1855;T-84;Uruguay;1;0;0;South America
1874;T-84;Uruguay;1;0;0;South America
2079;T-84;Uruguay;1;0;0;South America
2150;T-84;Uruguay;1;0;0;South America
2209;T-84;Uruguay;1;0;0;South America
2223;T-84;Uruguay;1;0;0;South America
2242;T-84;Uruguay;1;0;0;South America
2405;T-84;Uruguay;1;0;0;South America
2409;T-84;Uruguay;1;0;0;South America
2414;T-84;Uruguay;1;0;0;South America
2456;T-84;Uruguay;1;0;0;South America
2465;T-05;Austria;1;0;0;Europe
2487;T-05;Austria;1;0;0;Europe
2492;T-05;Austria;1;0;0;Europe
2513;T-05;Austria;1;0;0;Europe
2576;T-05;Austria;1;0;0;Europe
2671;T-21;Czechoslovakia;1;0;0;Europe
2714;T-21;Czechoslovakia;1;0;0;Europe
2868;T-21;Czechoslovakia;1;0;0;Europe
3022;T-31;Germany;1;1;1;Europe
3155;T-31;Germany;1;1;1;Europe
3232;T-31;Germany;1;1;1;Europe
3327;T-31;Germany;1;1;1;Europe
