;squads_team_id;squads_player_id;squads_tournament_id;squads_shirt_number;squads_position_name;players_goal_keeper;players_defender;players_midfielder;players_forward
1;T-12;P-00020;WC-2007;11;defender;0;1;0;0
2;T-12;P-00020;WC-2003;11;defender;0;1;0;0
3;T-73;P-00034;WC-1998;11;forward;0;0;0;1
4;T-48;P-00036;WC-1974;19;defender;0;1;0;0
5;T-87;P-00042;WC-1954;18;forward;0;0;0;1
6;T-87;P-00042;WC-1958;7;forward;0;0;0;1
7;T-59;P-00052;WC-2022;2;defender;0;1;0;0
8;T-30;P-00064;WC-2015;12;midfielder;0;0;1;1
9;T-30;P-00064;WC-2011;12;forward;0;0;1;1
10;T-03;P-00065;WC-2002;10;midfielder;0;0;1;0
11;T-03;P-00065;WC-1994;17;midfielder;0;0;1;0
12;T-03;P-00065;WC-1998;10;midfielder;0;0;1;0
13;T-77;P-00077;WC-2006;19;defender;0;1;0;0
14;T-28;P-00081;WC-1990;21;forward;0;0;0;1
15;T-46;P-00083;WC-2015;3;defender;0;1;0;0
16;T-27;P-00086;WC-1970;2;defender;0;1;0;0
17;T-60;P-00105;WC-2002;8;midfielder;0;0;1;0
18;T-06;P-00109;WC-1998;8;forward;0;0;0;1
19;T-38;P-00111;WC-2018;7;midfielder;0;0;1;0
20;T-38;P-00111;WC-2014;7;midfielder;0;0;1;0
21;T-38;P-00111;WC-2006;23;midfielder;0;0;1;0
22;T-72;P-00116;WC-1982;20;defender;0;1;0;0
23;T-41;P-00119;WC-1974;11;forward;0;0;0;1
24;T-41;P-00119;WC-1970;11;forward;0;0;0;1
25;T-16;P-00137;WC-2011;5;defender;0;1;0;0
26;T-16;P-00137;WC-2015;14;defender;0;1;0;0
27;T-57;P-00146;WC-1986;4;defender;0;1;0;0
28;T-44;P-00148;WC-2010;2;midfielder;0;0;1;0
29;T-41;P-00152;WC-1954;8;forward;0;0;0;1
30;T-41;P-00152;WC-1950;0;forward;0;0;0;1
31;T-87;P-00153;WC-1990;18;defender;0;1;0;0
32;T-64;P-00189;WC-1998;7;forward;0;0;0;1
33;T-22;P-00212;WC-2002;1;goal keeper;1;0;0;0
34;T-22;P-00212;WC-2010;1;goal keeper;1;0;0;0
35;T-84;P-00232;WC-2022;23;goal keeper;1;0;0;0
36;T-82;P-00234;WC-1990;17;goal keeper;1;0;0;0
37;T-75;P-00244;WC-2022;20;midfielder;0;0;1;0
38;T-87;P-00262;WC-1974;3;defender;0;1;0;0
39;T-61;P-00266;WC-1994;21;forward;0;0;0;1
40;T-09;P-00279;WC-1938;0;midfielder;0;0;1;0
41;T-31;P-00281;WC-1938;0;midfielder;0;0;1;0
42;T-28;P-00300;WC-1958;17;forward;0;0;0;1
43;T-38;P-00315;WC-1998;22;goal keeper;1;0;0;0
44;T-29;P-00325;WC-2011;5;midfielder;0;0;1;0
45;T-48;P-00336;WC-2015;11;forward;0;0;0;1
46;T-48;P-00336;WC-2019;11;forward;0;0;0;1
47;T-73;P-00339;WC-2018;9;forward;0;0;0;1
48;T-06;P-00356;WC-1934;0;defender;0;1;0;0
49;T-07;P-00369;WC-1930;0;midfielder;0;0;1;0
50;T-32;P-00384;WC-2006;13;defender;0;1;0;0
51;T-03;P-00386;WC-2003;6;defender;0;1;0;0
52;T-71;P-00390;WC-1954;3;defender;0;1;0;0
53;T-49;P-00393;WC-2011;5;defender;0;1;0;0
54;T-49;P-00393;WC-2019;8;defender;0;1;0;0
55;T-49;P-00393;WC-2007;5;defender;0;1;0;0
56;T-49;P-00393;WC-2015;5;defender;0;1;0;0
57;T-55;P-00429;WC-2006;2;defender;0;1;0;0
58;T-50;P-00436;WC-1995;14;defender;0;1;0;0
59;T-50;P-00436;WC-1991;14;defender;0;1;0;0
60;T-64;P-00439;WC-1958;1;goal keeper;1;0;0;0
61;T-22;P-00445;WC-1986;15;midfielder;0;0;1;0
62;T-28;P-00447;WC-2002;20;forward;0;0;0;1
63;T-85;P-00452;WC-1958;21;midfielder;0;0;1;0
