;matches_tournament_id;tournaments_tournament_name;tournaments_year;tournaments_host_country;tournaments_winner;tournaments_count_teams
1;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
71;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
141;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
225;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
313;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
453;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
581;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
674;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
766;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
864;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
966;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
1074;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
1227;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
1363;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
1483;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
1582;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
1726;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
1825;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
2000;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
2125;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
2289;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
2396;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
2550;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
2662;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
2814;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
2901;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
3079;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
3227;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
3397;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
3545;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
