;matches_stadium_id;stadiums_stadium_name;stadiums_city_name;stadiums_country_name;stadiums_stadium_capacity
1;S-240;Estadio Pocitos;Montevideo;Uruguay;10000
2;S-240;Estadio Pocitos;Montevideo;Uruguay;10000
3;S-240;Estadio Pocitos;Montevideo;Uruguay;10000
4;S-240;Estadio Pocitos;Montevideo;Uruguay;10000
5;S-240;Estadio Pocitos;Montevideo;Uruguay;10000
6;S-239;Estadio Gran Parque Central;Montevideo;Uruguay;20000
7;S-239;Estadio Gran Parque Central;Montevideo;Uruguay;20000
8;S-239;Estadio Gran Parque Central;Montevideo;Uruguay;20000
9;S-239;Estadio Gran Parque Central;Montevideo;Uruguay;20000
10;S-239;Estadio Gran Parque Central;Montevideo;Uruguay;20000
11;S-239;Estadio Gran Parque Central;Montevideo;Uruguay;20000
12;S-240;Estadio Pocitos;Montevideo;Uruguay;10000
13;S-240;Estadio Pocitos;Montevideo;Uruguay;10000
14;S-240;Estadio Pocitos;Montevideo;Uruguay;10000
15;S-240;Estadio Pocitos;Montevideo;Uruguay;10000
16;S-239;Estadio Gran Parque Central;Montevideo;Uruguay;20000
17;S-239;Estadio Gran Parque Central;Montevideo;Uruguay;20000
18;S-239;Estadio Gran Parque Central;Montevideo;Uruguay;20000
19;S-239;Estadio Gran Parque Central;Montevideo;Uruguay;20000
20;S-239;Estadio Gran Parque Central;Montevideo;Uruguay;20000
21;S-239;Estadio Gran Parque Central;Montevideo;Uruguay;20000
22;S-239;Estadio Gran Parque Central;Montevideo;Uruguay;20000
23;S-239;Estadio Gran Parque Central;Montevideo;Uruguay;20000
24;S-239;Estadio Gran Parque Central;Montevideo;Uruguay;20000
25;S-239;Estadio Gran Parque Central;Montevideo;Uruguay;20000
26;S-239;Estadio Gran Parque Central;Montevideo;Uruguay;20000
27;S-238;Estadio Centenario;Montevideo;Uruguay;90000
28;S-238;Estadio Centenario;Montevideo;Uruguay;90000
29;S-238;Estadio Centenario;Montevideo;Uruguay;90000
30;S-238;Estadio Centenario;Montevideo;Uruguay;90000
31;S-238;Estadio Centenario;Montevideo;Uruguay;90000
32;S-238;Estadio Centenario;Montevideo;Uruguay;90000
33;S-238;Estadio Centenario;Montevideo;Uruguay;90000
34;S-238;Estadio Centenario;Montevideo;Uruguay;90000
35;S-238;Estadio Centenario;Montevideo;Uruguay;90000
36;S-238;Estadio Centenario;Montevideo;Uruguay;90000
37;S-238;Estadio Centenario;Montevideo;Uruguay;90000
38;S-238;Estadio Centenario;Montevideo;Uruguay;90000
39;S-238;Estadio Centenario;Montevideo;Uruguay;90000
40;S-238;Estadio Centenario;Montevideo;Uruguay;90000
41;S-238;Estadio Centenario;Montevideo;Uruguay;90000
42;S-238;Estadio Centenario;Montevideo;Uruguay;90000
43;S-238;Estadio Centenario;Montevideo;Uruguay;90000
44;S-238;Estadio Centenario;Montevideo;Uruguay;90000
45;S-238;Estadio Centenario;Montevideo;Uruguay;90000
46;S-238;Estadio Centenario;Montevideo;Uruguay;90000
47;S-238;Estadio Centenario;Montevideo;Uruguay;90000
48;S-238;Estadio Centenario;Montevideo;Uruguay;90000
49;S-238;Estadio Centenario;Montevideo;Uruguay;90000
50;S-238;Estadio Centenario;Montevideo;Uruguay;90000
51;S-238;Estadio Centenario;Montevideo;Uruguay;90000
52;S-238;Estadio Centenario;Montevideo;Uruguay;90000
53;S-238;Estadio Centenario;Montevideo;Uruguay;90000
54;S-238;Estadio Centenario;Montevideo;Uruguay;90000
55;S-238;Estadio Centenario;Montevideo;Uruguay;90000
56;S-238;Estadio Centenario;Montevideo;Uruguay;90000
57;S-238;Estadio Centenario;Montevideo;Uruguay;90000
58;S-238;Estadio Centenario;Montevideo;Uruguay;90000
59;S-238;Estadio Centenario;Montevideo;Uruguay;90000
60;S-238;Estadio Centenario;Montevideo;Uruguay;90000
61;S-238;Estadio Centenario;Montevideo;Uruguay;90000
62;S-238;Estadio Centenario;Montevideo;Uruguay;90000
63;S-238;Estadio Centenario;Montevideo;Uruguay;90000
64;S-238;Estadio Centenario;Montevideo;Uruguay;90000
65;S-238;Estadio Centenario;Montevideo;Uruguay;90000
66;S-238;Estadio Centenario;Montevideo;Uruguay;90000
67;S-238;Estadio Centenario;Montevideo;Uruguay;90000
68;S-238;Estadio Centenario;Montevideo;Uruguay;90000
69;S-238;Estadio Centenario;Montevideo;Uruguay;90000
70;S-238;Estadio Centenario;Montevideo;Uruguay;90000
71;S-114;Stadio Benito Mussolini;Turin;Italy;28000
72;S-114;Stadio Benito Mussolini;Turin;Italy;28000
73;S-114;Stadio Benito Mussolini;Turin;Italy;28000
74;S-114;Stadio Benito Mussolini;Turin;Italy;28000
75;S-114;Stadio Benito Mussolini;Turin;Italy;28000
76;S-113;Stadio Littorio;Trieste;Italy;8000
77;S-113;Stadio Littorio;Trieste;Italy;8000
78;S-113;Stadio Littorio;Trieste;Italy;8000
79;S-105;Stadio Giovanni Berta;Florence;Italy;47000
80;S-105;Stadio Giovanni Berta;Florence;Italy;47000
81;S-105;Stadio Giovanni Berta;Florence;Italy;47000
82;S-105;Stadio Giovanni Berta;Florence;Italy;47000
83;S-105;Stadio Giovanni Berta;Florence;Italy;47000
84;S-105;Stadio Giovanni Berta;Florence;Italy;47000
85;S-105;Stadio Giovanni Berta;Florence;Italy;47000
86;S-108;Stadio Giorgio Ascarelli;Naples;Italy;40000
87;S-108;Stadio Giorgio Ascarelli;Naples;Italy;40000
88;S-108;Stadio Giorgio Ascarelli;Naples;Italy;40000
89;S-108;Stadio Giorgio Ascarelli;Naples;Italy;40000
90;S-108;Stadio Giorgio Ascarelli;Naples;Italy;40000
91;S-108;Stadio Giorgio Ascarelli;Naples;Italy;40000
92;S-111;Stadio Nazionale PNF;Rome;Italy;47000
93;S-111;Stadio Nazionale PNF;Rome;Italy;47000
94;S-111;Stadio Nazionale PNF;Rome;Italy;47000
95;S-111;Stadio Nazionale PNF;Rome;Italy;47000
96;S-111;Stadio Nazionale PNF;Rome;Italy;47000
97;S-111;Stadio Nazionale PNF;Rome;Italy;47000
98;S-111;Stadio Nazionale PNF;Rome;Italy;47000
99;S-111;Stadio Nazionale PNF;Rome;Italy;47000
100;S-106;Stadio Luigi Ferraris;Genoa;Italy;37000
101;S-106;Stadio Luigi Ferraris;Genoa;Italy;37000
102;S-106;Stadio Luigi Ferraris;Genoa;Italy;37000
103;S-106;Stadio Luigi Ferraris;Genoa;Italy;37000
104;S-102;Stadio Renato Dall'Ara;Bologna;Italy;50000
105;S-102;Stadio Renato Dall'Ara;Bologna;Italy;50000
106;S-102;Stadio Renato Dall'Ara;Bologna;Italy;50000
107;S-102;Stadio Renato Dall'Ara;Bologna;Italy;50000
108;S-102;Stadio Renato Dall'Ara;Bologna;Italy;50000
109;S-107;San Siro;Milan;Italy;75000
110;S-107;San Siro;Milan;Italy;75000
111;S-107;San Siro;Milan;Italy;75000
112;S-107;San Siro;Milan;Italy;75000
113;S-107;San Siro;Milan;Italy;75000
114;S-102;Stadio Renato Dall'Ara;Bologna;Italy;50000
115;S-102;Stadio Renato Dall'Ara;Bologna;Italy;50000
116;S-102;Stadio Renato Dall'Ara;Bologna;Italy;50000
117;S-114;Stadio Benito Mussolini;Turin;Italy;28000
118;S-114;Stadio Benito Mussolini;Turin;Italy;28000
119;S-114;Stadio Benito Mussolini;Turin;Italy;28000
120;S-114;Stadio Benito Mussolini;Turin;Italy;28000
121;S-114;Stadio Benito Mussolini;Turin;Italy;28000
122;S-107;San Siro;Milan;Italy;75000
123;S-107;San Siro;Milan;Italy;75000
124;S-107;San Siro;Milan;Italy;75000
125;S-105;Stadio Giovanni Berta;Florence;Italy;47000
126;S-105;Stadio Giovanni Berta;Florence;Italy;47000
127;S-105;Stadio Giovanni Berta;Florence;Italy;47000
128;S-111;Stadio Nazionale PNF;Rome;Italy;47000
129;S-111;Stadio Nazionale PNF;Rome;Italy;47000
130;S-111;Stadio Nazionale PNF;Rome;Italy;47000
131;S-111;Stadio Nazionale PNF;Rome;Italy;47000
132;S-107;San Siro;Milan;Italy;75000
133;S-108;Stadio Giorgio Ascarelli;Naples;Italy;40000
134;S-108;Stadio Giorgio Ascarelli;Naples;Italy;40000
135;S-108;Stadio Giorgio Ascarelli;Naples;Italy;40000
136;S-108;Stadio Giorgio Ascarelli;Naples;Italy;40000
137;S-108;Stadio Giorgio Ascarelli;Naples;Italy;40000
138;S-111;Stadio Nazionale PNF;Rome;Italy;47000
139;S-111;Stadio Nazionale PNF;Rome;Italy;47000
140;S-111;Stadio Nazionale PNF;Rome;Italy;47000
141;S-068;Parc des Princes;Paris;France;49000
142;S-068;Parc des Princes;Paris;France;49000
143;S-077;Stade du T.O.E.C.;Toulouse;France;15000
144;S-077;Stade du T.O.E.C.;Toulouse;France;15000
