;matches_tournament_id;tournaments_tournament_name;tournaments_year;tournaments_host_country;tournaments_winner;tournaments_count_teams
1;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
2;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
3;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
4;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
5;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
6;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
7;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
8;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
9;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
10;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
11;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
12;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
13;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
14;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
15;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
16;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
17;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
18;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
19;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
20;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
21;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
22;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
23;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
24;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
25;WC-1930;1930 FIFA Men's World Cup;1930;Uruguay;Uruguay;13
